Tissue	Target?	z-score	GSM
liver	All Non-Target Tissues	-0.24606026488092692	GSM259836
liver	All Non-Target Tissues	-0.24289864296217012	GSM259836
liver	All Non-Target Tissues	-0.3863717449978287	GSM259836
liver	All Non-Target Tissues	-0.2603105000422413	GSM259832
liver	Target Tissue	4.051780422619353	GSM259832
liver	All Non-Target Tissues	-0.3850111113649561	GSM259832
liver	All Non-Target Tissues	-0.2974942553743829	GSM259832
liver	All Non-Target Tissues	-0.33381651670499307	GSM259832
liver	All Non-Target Tissues	-0.34096083195085025	GSM259832
liver	All Non-Target Tissues	-0.3059501347199172	GSM259833
liver	Target Tissue	3.8994853261413165	GSM259833
liver	All Non-Target Tissues	-0.34706176760661367	GSM259833
liver	All Non-Target Tissues	-0.38246331654107707	GSM259833
liver	All Non-Target Tissues	-0.4091597024969183	GSM259833
liver	All Non-Target Tissues	-0.16856601231848112	GSM259833
liver	All Non-Target Tissues	-0.21716427421923512	GSM259834
liver	Target Tissue	3.487729020441525	GSM259834
liver	All Non-Target Tissues	-0.0979282206445923	GSM259834
liver	All Non-Target Tissues	-0.14383656012291984	GSM259834
liver	All Non-Target Tissues	-0.4325157382167322	GSM259834
liver	All Non-Target Tissues	-0.39085025813443464	GSM259834
liver	All Non-Target Tissues	-0.10509273564752647	GSM259835
liver	Target Tissue	3.5917114408086612	GSM259835
liver	All Non-Target Tissues	-0.08858411654245804	GSM259835
liver	All Non-Target Tissues	-0.3448541808966716	GSM259835
liver	All Non-Target Tissues	-0.24485943336022953	GSM259835
liver	All Non-Target Tissues	-0.31495104330067397	GSM259835
liver	All Non-Target Tissues	-0.26462820057494496	GSM301600
liver	Target Tissue	7.252056771739269	GSM301600
liver	All Non-Target Tissues	-0.25334461655413204	GSM301600
liver	All Non-Target Tissues	-0.3248106472906674	GSM301600
liver	All Non-Target Tissues	-0.5186398247431957	GSM301600
liver	All Non-Target Tissues	0.8927065139794088	GSM301600
liver	All Non-Target Tissues	-0.32003433844315365	GSM301594
liver	Target Tissue	8.791446188287377	GSM301594
liver	All Non-Target Tissues	-1.0451201107330133	GSM301594
liver	All Non-Target Tissues	-0.1775928803446418	GSM301594
liver	All Non-Target Tissues	-0.8177371557342201	GSM301594
liver	All Non-Target Tissues	0.2947333646159622	GSM301594
liver	All Non-Target Tissues	-0.6813745518171087	GSM301595
liver	Target Tissue	9.457794031103546	GSM301595
liver	All Non-Target Tissues	-0.7746293444694795	GSM301595
liver	All Non-Target Tissues	-0.3333768503228225	GSM301595
liver	All Non-Target Tissues	-1.4339059544862862	GSM301595
liver	All Non-Target Tissues	-0.25034918768467235	GSM301595
liver	All Non-Target Tissues	-0.4240773476556648	GSM301592
liver	Target Tissue	10.420840370065006	GSM301592
liver	All Non-Target Tissues	-0.5867129430071267	GSM301592
liver	All Non-Target Tissues	-0.8201128207476529	GSM301592
liver	All Non-Target Tissues	-0.22878862443387657	GSM301592
liver	All Non-Target Tissues	-1.0053219866045005	GSM301592
liver	All Non-Target Tissues	-0.352349772466458	GSM301599
liver	Target Tissue	8.594402472566065	GSM301599
liver	All Non-Target Tissues	-0.7605801811015678	GSM301599
liver	All Non-Target Tissues	-0.48479852324228145	GSM301599
liver	All Non-Target Tissues	0.2292880524018304	GSM301599
