GeneID	GPL
11326	GPL570
11329	GPL570
1132	GPL570
11330	GPL570
11331	GPL570
11332	GPL570
11333	GPL570
11334	GPL570
11335	GPL570
11336	GPL570
11337	GPL570
11338	GPL570
11339	GPL570
1133	GPL570
11340	GPL570
113419	GPL570
11341	GPL570
11342	GPL570
11343	GPL570
11344	GPL570
11345	GPL570
11346	GPL570
1134	GPL570
1135	GPL570
1136	GPL570
113791	GPL570
1137	GPL570
113835	GPL570
113878	GPL570
1138	GPL570
113	GPL570
114034	GPL570
114049	GPL570
114088	GPL570
1140	GPL570
114112	GPL570
1141	GPL570
1142	GPL570
114327	GPL570
1143	GPL570
1144	GPL570
114548	GPL570
1145	GPL570
114625	GPL570
1146	GPL570
114791	GPL570
1147	GPL570
114819	GPL570
114876	GPL570
114881	GPL570
114882	GPL570
114883	GPL570
114884	GPL570
114885	GPL570
114897	GPL570
114899	GPL570
114908	GPL570
114932	GPL570
1149	GPL570
114	GPL570
115123	GPL570
115201	GPL570
115207	GPL570
115290	GPL570
1152	GPL570
115353	GPL570
1153	GPL570
1154	GPL570
1155	GPL570
115703	GPL570
115708	GPL570
115817	GPL570
1158	GPL570
115939	GPL570
115	GPL570
116039	GPL570
1160	GPL570
116138	GPL570
1161	GPL570
116285	GPL570
116372	GPL570
116496	GPL570
1164	GPL570
116832	GPL570
116984	GPL570
116985	GPL570
116986	GPL570
116987	GPL570
116	GPL570
117178	GPL570
117246	GPL570
1173	GPL570
1174	GPL570
1175	GPL570
1178	GPL570
1179	GPL570
117	GPL570
1180	GPL570
1181	GPL570
1182	GPL570
1183	GPL570
1184	GPL570
1185	GPL570
1186	GPL570
1188	GPL570
118	GPL570
1191	GPL570
1192	GPL570
1193	GPL570
1195	GPL570
1196	GPL570
1198	GPL570
119	GPL570
1200	GPL570
1201	GPL570
1203	GPL570
120526	GPL570
1207	GPL570
1208	GPL570
1209	GPL570
120	GPL570
1211	GPL570
1212	GPL570
1213	GPL570
1215	GPL570
122616	GPL570
1230	GPL570
1232	GPL570
1233	GPL570
1234	GPL570
1235	GPL570
1236	GPL570
1237	GPL570
123803	GPL570
123872	GPL570
1238	GPL570
123	GPL570
124044	GPL570
1240	GPL570
124152	GPL570
1241	GPL570
124222	GPL570
124565	GPL570
124583	GPL570
124	GPL570
125893	GPL570
1258	GPL570
1259	GPL570
125	GPL570
1261	GPL570
126208	GPL570
126231	GPL570
126298	GPL570
126299	GPL570
126321	GPL570
126353	GPL570
126393	GPL570
1263	GPL570
1264	GPL570
1265	GPL570
1266	GPL570
1267	GPL570
1268	GPL570
1269	GPL570
126	GPL570
1271	GPL570
1272	GPL570
127534	GPL570
127544	GPL570
127703	GPL570
1277	GPL570
127833	GPL570
1278	GPL570
1280	GPL570
1281	GPL570
1282	GPL570
1284	GPL570
128553	GPL570
1285	GPL570
1286	GPL570
1287	GPL570
1288	GPL570
1289	GPL570
128	GPL570
129025	GPL570
129080	GPL570
1290	GPL570
1291	GPL570
1292	GPL570
1293	GPL570
1294	GPL570
1296	GPL570
1297	GPL570
1298	GPL570
1299	GPL570
12	GPL570
130074	GPL570
1300	GPL570
1301	GPL570
1302	GPL570
1305	GPL570
1306	GPL570
1307	GPL570
130916	GPL570
130	GPL570
1310	GPL570
1311	GPL570
1312	GPL570
131408	GPL570
1314	GPL570
131544	GPL570
131566	GPL570
131578	GPL570
1315	GPL570
131601	GPL570
1316	GPL570
1317	GPL570
1318	GPL570
131	GPL570
1326	GPL570
1327	GPL570
1329	GPL570
132	GPL570
133619	GPL570
1339	GPL570
133	GPL570
1340	GPL570
1345	GPL570
1346	GPL570
1347	GPL570
134	GPL570
1350	GPL570
135138	GPL570
1351	GPL570
1352	GPL570
1353	GPL570
1355	GPL570
1356	GPL570
1357	GPL570
1358	GPL570
135948	GPL570
1359	GPL570
1360	GPL570
1361	GPL570
1362	GPL570
1363	GPL570
1364	GPL570
1365	GPL570
1366	GPL570
1368	GPL570
1369	GPL570
136	GPL570
1370	GPL570
1373	GPL570
1374	GPL570
1376	GPL570
137886	GPL570
1378	GPL570
138046	GPL570
138050	GPL570
1380	GPL570
138151	GPL570
138162	GPL570
1381	GPL570
1382	GPL570
1384	GPL570
1385	GPL570
1386	GPL570
1387	GPL570
1388	GPL570
1389	GPL570
139081	GPL570
1390	GPL570
1392	GPL570
139322	GPL570
1393	GPL570
1394	GPL570
1395	GPL570
1396	GPL570
1397	GPL570
1398	GPL570
1399	GPL570
13	GPL570
1400	GPL570
1401	GPL570
140459	GPL570
140460	GPL570
140461	GPL570
140462	GPL570
140465	GPL570
140467	GPL570
1404	GPL570
140545	GPL570
140578	GPL570
140597	GPL570
140609	GPL570
1406	GPL570
1407	GPL570
140801	GPL570
140803	GPL570
140883	GPL570
140885	GPL570
140890	GPL570
1408	GPL570
140	GPL570
1410	GPL570
1411	GPL570
1412	GPL570
1413	GPL570
1415	GPL570
1416	GPL570
1417	GPL570
1418	GPL570
1419	GPL570
141	GPL570
1420	GPL570
1421	GPL570
142684	GPL570
1428	GPL570
1429	GPL570
142	GPL570
1432	GPL570
1434	GPL570
1435	GPL570
1436	GPL570
1437	GPL570
1438	GPL570
1439	GPL570
1440	GPL570
1441	GPL570
1442	GPL570
1443	GPL570
144404	GPL570
1444	GPL570
1445	GPL570
1446	GPL570
1447	GPL570
1448	GPL570
1452	GPL570
145389	GPL570
1453	GPL570
1454	GPL570
1455	GPL570
1456	GPL570
1457	GPL570
1459	GPL570
146057	GPL570
1460	GPL570
146227	GPL570
1462	GPL570
1463	GPL570
1464	GPL570
146542	GPL570
146562	GPL570
1465	GPL570
146691	GPL570
1466	GPL570
146712	GPL570
1468	GPL570
1469	GPL570
146	GPL570
1470	GPL570
147179	GPL570
1471	GPL570
1472	GPL570
147339	GPL570
1473	GPL570
1474	GPL570
1475	GPL570
147657	GPL570
147694	GPL570
1476	GPL570
1477	GPL570
1478	GPL570
147912	GPL570
1479	GPL570
147	GPL570
148022	GPL570
148066	GPL570
148229	GPL570
1482	GPL570
1486	GPL570
148753	GPL570
1487	GPL570
1488	GPL570
1489	GPL570
148	GPL570
1490	GPL570
149111	GPL570
1491	GPL570
1493	GPL570
1495	GPL570
149603	GPL570
1496	GPL570
1497	GPL570
149986	GPL570
1499	GPL570
14	GPL570
150160	GPL570
1501	GPL570
1503	GPL570
1506	GPL570
150726	GPL570
1508	GPL570
1509	GPL570
150	GPL570
151011	GPL570
151050	GPL570
1510	GPL570
1511	GPL570
1512	GPL570
1513	GPL570
1514	GPL570
1515	GPL570
151987	GPL570
1519	GPL570
151	GPL570
152006	GPL570
1520	GPL570
152185	GPL570
1521	GPL570
1522	GPL570
1523	GPL570
1524	GPL570
152559	GPL570
1525	GPL570
1528	GPL570
152	GPL570
1534	GPL570
1535	GPL570
1536	GPL570
1537	GPL570
1538	GPL570
1539	GPL570
153	GPL570
1540	GPL570
1543	GPL570
1544	GPL570
1545	GPL570
154661	GPL570
154796	GPL570
154881	GPL570
1548	GPL570
1549	GPL570
154	GPL570
155060	GPL570
155066	GPL570
1551	GPL570
1553	GPL570
155400	GPL570
1555	GPL570
1556	GPL570
1557	GPL570
1558	GPL570
1559	GPL570
155	GPL570
1562	GPL570
156	GPL570
1571	GPL570
1573	GPL570
157567	GPL570
157680	GPL570
1577	GPL570
157869	GPL570
157922	GPL570
1579	GPL570
157	GPL570
1580	GPL570
1581	GPL570
1583	GPL570
158427	GPL570
158471	GPL570
1584	GPL570
158586	GPL570
1585	GPL570
1586	GPL570
158747	GPL570
1587	GPL570
1588	GPL570
1589	GPL570
158	GPL570
159162	GPL570
1591	GPL570
1592	GPL570
1593	GPL570
1594	GPL570
1595	GPL570
159963	GPL570
159	GPL570
15	GPL570
1600	GPL570
1601	GPL570
1602	GPL570
160313	GPL570
1603	GPL570
1604	GPL570
160518	GPL570
1605	GPL570
1606	GPL570
1607	GPL570
1608	GPL570
1609	GPL570
1610	GPL570
1611	GPL570
161291	GPL570
1612	GPL570
1613	GPL570
1615	GPL570
1616	GPL570
1618	GPL570
161	GPL570
1620	GPL570
1621	GPL570
1622	GPL570
162427	GPL570
1627	GPL570
1628	GPL570
1629	GPL570
162	GPL570
1630	GPL570
163131	GPL570
1632	GPL570
1633	GPL570
163486	GPL570
1634	GPL570
163590	GPL570
1635	GPL570
1636	GPL570
1638	GPL570
1639	GPL570
163	GPL570
1641	GPL570
1642	GPL570
1643	GPL570
1644	GPL570
1645	GPL570
164656	GPL570
1646	GPL570
1647	GPL570
1649	GPL570
164	GPL570
1650	GPL570
1652	GPL570
1653	GPL570
1654	GPL570
1655	GPL570
1656	GPL570
1657	GPL570
1659	GPL570
165	GPL570
1660	GPL570
1662	GPL570
1663	GPL570
1665	GPL570
166647	GPL570
1666	GPL570
1669	GPL570
166	GPL570
1670	GPL570
1671	GPL570
167227	GPL570
1672	GPL570
1674	GPL570
1675	GPL570
1676	GPL570
1677	GPL570
1678	GPL570
167	GPL570
168544	GPL570
1687	GPL570
1690	GPL570
169522	GPL570
169611	GPL570
16	GPL570
170679	GPL570
